Month,Yunnan,Month,Year,BD,tm,tm1,tm2,tm3,pre,pre1,pre2,pre3,hm,hm1,hm2,hm3,pop,,
2013/1/1,0,1,1,0,14,NA,NA,NA,17.6,NA,NA,NA,75,NA,NA,NA,719600,,
2013/2/1,0,2,1,0,18.5,14,NA,NA,25.65,17.6,NA,NA,66.5,75,NA,NA,719600,,
2013/3/1,0,3,1,0,22,18.5,14,NA,28.1,25.65,17.6,NA,51,66.5,75,NA,719600,,
2013/4/1,0,4,1,0,25,22,18.5,14,74.1,28.1,25.65,17.6,50.5,51,66.5,75,719600,,
2013/5/1,0,5,1,0,23.5,25,22,18.5,310.25,74.1,28.1,25.65,74.5,50.5,51,66.5,719600,,
2013/6/1,0,6,1,0,23.5,23.5,25,22,404.3,310.25,74.1,28.1,81.5,74.5,50.5,51,719600,,
2013/7/1,0,7,1,0,22,23.5,23.5,25,471.25,404.3,310.25,74.1,91.5,81.5,74.5,50.5,719600,,
2013/8/1,482,8,1,0,23,22,23.5,23.5,486.835,471.25,404.3,310.25,89,91.5,81.5,74.5,719600,,
2013/9/1,736,9,1,0,23,23,22,23.5,326.3,486.835,471.25,404.3,87.5,89,91.5,81.5,719600,,
2013/10/1,237,10,1,0,19.5,23,23,22,219.85,326.3,486.835,471.25,84.5,87.5,89,91.5,719600,,
2013/11/1,46,11,1,0,18,19.5,23,23,28,219.85,326.3,486.835,82,84.5,87.5,89,719600,,
2013/12/1,0,12,1,0,12.5,18,19.5,23,74.55,28,219.85,326.3,80.5,82,84.5,87.5,719600,,
2014/1/1,0,1,2,0,14,12.5,18,19.5,1.285,74.55,28,219.85,74,80.5,82,84.5,727600,,
2014/2/1,0,2,2,0,17.5,14,12.5,18,11.4,1.285,74.55,28,63.5,74,80.5,82,727600,,
2014/3/1,0,3,2,0,22,17.5,14,12.5,30.36,11.4,1.285,74.55,51,63.5,74,80.5,727600,,
2014/4/1,0,4,2,0,25.5,22,17.5,14,20.6,30.36,11.4,1.285,48,51,63.5,74,727600,,
2014/5/1,0,5,2,0,25,25.5,22,17.5,208.95,20.6,30.36,11.4,70.5,48,51,63.5,727600,,
2014/6/1,2,6,2,0,24,25,25.5,22,378.415,208.95,20.6,30.36,85.5,70.5,48,51,727600,,
2014/7/1,8,7,2,0,22.5,24,25,25.5,545.6,378.415,208.95,20.6,90.5,85.5,70.5,48,727600,,
2014/8/1,91,8,2,0,22.5,22.5,24,25,394.265,545.6,378.415,208.95,92,90.5,85.5,70.5,727600,,
2014/9/1,85,9,2,0,23,22.5,22.5,24,304.295,394.265,545.6,378.415,88,92,90.5,85.5,727600,,
2014/10/1,70,10,2,0,21,23,22.5,22.5,168.3,304.295,394.265,545.6,83.5,88,92,90.5,727600,,
2014/11/1,31,11,2,0,18.5,21,23,22.5,58.68,168.3,304.295,394.265,83,83.5,88,92,727600,,
2014/12/1,5,12,2,0,16.5,18.5,21,23,3.695,58.68,168.3,304.295,79.5,83,83.5,88,727600,,
2015/1/1,0,1,3,0,13.5,16.5,18.5,21,75.55,3.695,58.68,168.3,78,79.5,83,83.5,735200,,
2015/2/1,0,2,3,0,16,13.5,16.5,18.5,5.53,75.55,3.695,58.68,66.5,78,79.5,83,735200,,
2015/3/1,0,3,3,0,21.5,16,13.5,16.5,18.355,5.53,75.55,3.695,57,66.5,78,79.5,735200,,
2015/4/1,0,4,3,0,23.5,21.5,16,13.5,92.235,18.355,5.53,75.55,63.5,57,66.5,78,735200,,
2015/5/1,0,5,3,0,25,23.5,21.5,16,217.485,92.235,18.355,5.53,68.5,63.5,57,66.5,735200,,
2015/6/1,15,6,3,0,23.5,25,23.5,21.5,541.01,217.485,92.235,18.355,82.5,68.5,63.5,57,735200,,
2015/7/1,28,7,3,0,22,23.5,25,23.5,806.34,541.01,217.485,92.235,89,82.5,68.5,63.5,735200,,
2015/8/1,66,8,3,0,22.5,22,23.5,25,657.935,806.34,541.01,217.485,90,89,82.5,68.5,735200,,
2015/9/1,377,9,3,0,23.5,22.5,22,23.5,399.835,657.935,806.34,541.01,87.5,90,89,82.5,735200,,
2015/10/1,940,10,3,0,20.5,23.5,22.5,22,272.92,399.835,657.935,806.34,84.5,87.5,90,89,735200,,
2015/11/1,328,11,3,0,18,20.5,23.5,22.5,27.735,272.92,399.835,657.935,82.5,84.5,87.5,90,735200,,
2015/12/1,10,12,3,0,14.5,18,20.5,23.5,22.51,27.735,272.92,399.835,81.5,82.5,84.5,87.5,735200,,
2016/1/1,2,1,4,0,12,14.5,18,20.5,26.75,22.51,27.735,272.92,75,81.5,82.5,84.5,742300,,
2016/2/1,0,2,4,0,16,12,14.5,18,29.95,26.75,22.51,27.735,72.5,75,81.5,82.5,742300,,
2016/3/1,1,3,4,0,21.5,16,12,14.5,6.1,29.95,26.75,22.51,58.5,72.5,75,81.5,742300,,
2016/4/1,0,4,4,0,25,21.5,16,12,91.56,6.1,29.95,26.75,56,58.5,72.5,75,742300,,
2016/5/1,2,5,4,0,24.5,25,21.5,16,207.695,91.56,6.1,29.95,70,56,58.5,72.5,742300,,
2016/6/1,2,6,4,0,23,24.5,25,21.5,576.355,207.695,91.56,6.1,85.5,70,56,58.5,742300,,
2016/7/1,1,7,4,0,23,23,24.5,25,709.82,576.355,207.695,91.56,90.5,85.5,70,56,742300,,
2016/8/1,20,8,4,0,23.5,23,23,24.5,681.03,709.82,576.355,207.695,87,90.5,85.5,70,742300,,
2016/9/1,79,9,4,0,22.5,23.5,23,23,507.2,681.03,709.82,576.355,86.5,87,90.5,85.5,742300,,
2016/10/1,184,10,4,0,22,22.5,23.5,23,327.09,507.2,681.03,709.82,85,86.5,87,90.5,742300,,
2016/11/1,122,11,4,0,17.5,22,22.5,23.5,55.8,327.09,507.2,681.03,82,85,86.5,87,742300,,
2016/12/1,13,12,4,0,15,17.5,22,22.5,6.775,55.8,327.09,507.2,81,82,85,86.5,742300,,
2017/1/1,2,1,5,0,14.5,15,17.5,22,52.775,6.775,55.8,327.09,76.5,81,82,85,749100,,
2017/2/1,0,2,5,0,16.5,14.5,15,17.5,3.3,52.775,6.775,55.8,67,76.5,81,82,749100,,
2017/3/1,0,3,5,0,20.5,16.5,14.5,15,29.55,3.3,52.775,6.775,58,67,76.5,81,749100,,
2017/4/1,0,4,5,0,22.5,20.5,16.5,14.5,125.2,29.55,3.3,52.775,66.5,58,67,76.5,749100,,
2017/5/1,1,5,5,0,24.5,22.5,20.5,16.5,165.35,125.2,29.55,3.3,67.5,66.5,58,67,749100,,
2017/6/1,14,6,5,0,23,24.5,22.5,20.5,707.65,165.35,125.2,29.55,85,67.5,66.5,58,749100,,
2017/7/1,71,7,5,0,22.5,23,24.5,22.5,587.55,707.65,165.35,125.2,88.5,85,67.5,66.5,749100,,
2017/8/1,398,8,5,0,23,22.5,23,24.5,604.75,587.55,707.65,165.35,90,88.5,85,67.5,749100,,
2017/9/1,603,9,5,0,23.5,23,22.5,23,466,604.75,587.55,707.65,86.5,90,88.5,85,749100,,
2017/10/1,789,10,5,0,22,23.5,23,22.5,165.45,466,604.75,587.55,82,86.5,90,88.5,749100,,
2017/11/1,330,11,5,0,19,22,23.5,23,98.45,165.45,466,604.75,78,82,86.5,90,749100,,
2017/12/1,49,12,5,0,15.5,19,22,23.5,35.5,98.45,165.45,466,76.5,78,82,86.5,749100,,
2018/1/1,4,1,6,0,15,15.5,19,22,70.45,35.5,98.45,165.45,72,76.5,78,82,754296,,
2018/2/1,2,2,6,0,19,15,15.5,19,1.45,70.45,35.5,98.45,56.5,72,76.5,78,754296,,
2018/3/1,0,3,6,0,22,19,15,15.5,20.16,1.45,70.45,35.5,48.5,56.5,72,76.5,754296,,
2018/4/1,0,4,6,0,25,22,19,15,16.14,20.16,1.45,70.45,52,48.5,56.5,72,754296,,
2018/5/1,1,5,6,0,24,25,22,19,376.6,16.14,20.16,1.45,70.5,52,48.5,56.5,754296,,
2018/6/1,4,6,6,0,23,24,25,22,735.395,376.6,16.14,20.16,89.5,70.5,52,48.5,754296,,
2018/7/1,27,7,6,0,23.5,23,24,25,614.6,735.395,376.6,16.14,88,89.5,70.5,52,754296,,
2018/8/1,52,8,6,0,23.5,23.5,23,24,621.65,614.6,735.395,376.6,88,88,89.5,70.5,754296,,
2018/9/1,178,9,6,0,23.5,23.5,23.5,23,313.115,621.65,614.6,735.395,85,88,88,89.5,754296,,
2018/10/1,265,10,6,0,20.5,23.5,23.5,23.5,260.385,313.115,621.65,614.6,85,85,88,88,754296,,
2018/11/1,92,11,6,0,18.5,20.5,23.5,23.5,13.65,260.385,313.115,621.65,73,85,85,88,754296,,
2018/12/1,10,12,6,0,16.5,18.5,20.5,23.5,58.75,13.65,260.385,313.115,78.5,73,85,85,754296,,
2019/1/1,0,1,7,0,15.5,16.5,18.5,20.5,85.8,58.75,13.65,260.385,71.5,78.5,73,85,758175,,
2019/2/1,0,2,7,0,19.5,15.5,16.5,18.5,6.6,85.8,58.75,13.65,51.5,71.5,78.5,73,758175,,
2019/3/1,0,3,7,0,21.5,19.5,15.5,16.5,20.75,6.6,85.8,58.75,47,51.5,71.5,78.5,758175,,
2019/4/1,1,4,7,0,27,21.5,19.5,15.5,12.3,20.75,6.6,85.8,40,47,51.5,71.5,758175,,
2019/5/1,3,5,7,0,28,27,21.5,19.5,74.6,12.3,20.75,6.6,49.5,40,47,51.5,758175,,
2019/6/1,11,6,7,0,25,28,27,21.5,415.4,74.6,12.3,20.75,81.5,49.5,40,47,758175,,
2019/7/1,53,7,7,0,22,25,28,27,564.5,415.4,74.6,12.3,90,81.5,49.5,40,758175,,
2019/8/1,651,8,7,0,23.5,22,25,28,425.45,564.5,415.4,74.6,87,90,81.5,49.5,758175,,
2019/9/1,2578,9,7,0,23,23.5,22,25,328.4,425.45,564.5,415.4,84,87,90,81.5,758175,,
2019/10/1,1102,10,7,0,22,23,23.5,22,171.85,328.4,425.45,564.5,84,84,87,90,758175,,
2019/11/1,315,11,7,0,19,22,23,23.5,32.1,171.85,328.4,425.45,83.5,84,84,87,758175,,
2019/12/1,14,12,7,0,15,19,22,23,20.5,32.1,171.85,328.4,75,83.5,84,84,758175,,
2020/1/1,3,1,8,0,16,15,19,22,43.65,20.5,32.1,171.85,68.5,75,83.5,84,730410,,210475
2020/2/1,0,2,8,0,18.5,16,15,19,3.3,43.65,20.5,32.1,58,68.5,75,83.5,730410,,519935
2020/3/1,0,3,8,1,23.5,18.5,16,15,2.75,3.3,43.65,20.5,41.5,58,68.5,75,730410,,730410
2020/4/1,0,4,8,1,24.5,23.5,18.5,16,82.4,2.75,3.3,43.65,49,41.5,58,68.5,730410,,
2020/5/1,0,5,8,1,26,24.5,23.5,18.5,142.55,82.4,2.75,3.3,63.5,49,41.5,58,730410,,
2020/6/1,0,6,8,1,24,26,24.5,23.5,492.6,142.55,82.4,2.75,85,63.5,49,41.5,730410,,
2020/7/1,12,7,8,1,22.5,24,26,24.5,494.4,492.6,142.55,82.4,91.5,85,63.5,49,730410,,
2020/8/1,42,8,8,1,22.5,22.5,24,26,484.3,494.4,492.6,142.55,90.5,91.5,85,63.5,730410,,
2020/9/1,29,9,8,1,22.5,22.5,22.5,24,394.2,484.3,494.4,492.6,88.5,90.5,91.5,85,730410,,
2020/10/1,104,10,8,1,22,22.5,22.5,22.5,205.05,394.2,484.3,494.4,84,88.5,90.5,91.5,730410,,
2020/11/1,57,11,8,1,19.5,22,22.5,22.5,69.9,205.05,394.2,484.3,77.5,84,88.5,90.5,730410,,
2020/12/1,2,12,8,1,16.5,19.5,22,22.5,6.95,69.9,205.05,394.2,76.5,77.5,84,88.5,730410,,
